seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,36,0,,1.0817703282968564e-05,0.011410719139074503,0.02016267942604592,133.08925453405652,133.08925453405652,7.825373161099712,7.825373161099712,1.0,418,36,1.0,30,30
2,36,0,,1.0916666949578073e-05,0.011541001904940154,0.021121428571218747,134.61447417791766,134.61447988172006,7.82425539333017,7.8242557498178185,0.9976190476190476,420,36,1.0,30,30
3,36,0,,1.0727944259056456e-05,0.010911182216710065,0.019607390300310258,130.13443276730084,130.13451895661953,7.8302965273688,7.830299719565788,0.9953810623556582,433,36,1.0,30,30
4,36,0,,1.092840382608502e-05,0.011802136620256323,0.02087793427199358,134.7358958961197,134.7360702921903,7.786518276227711,7.786531699765466,0.9882629107981221,426,36,1.0,30,30
5,36,0,,1.1539215598068218e-05,0.01188554828495755,0.021223039215935085,139.3263489864978,139.3263489864978,7.866028612269735,7.866028612269735,1.0,408,36,1.0,30,30
6,36,0,,1.0631541954353452e-05,0.0111488941594157,0.020249999999934994,132.56478501708958,132.56501707472162,7.812838444563166,7.812852095012108,0.9953271028037384,428,36,1.0,30,30
7,36,0,,1.0644655545837203e-05,0.011249349643492898,0.020011876484636613,130.37628241496571,130.37629213471033,7.819912404504397,7.819912718044546,0.997624703087886,421,36,1.0,30,30
8,36,0,,1.1081250199317259e-05,0.011219261342678996,0.020662037037120037,131.58351506919394,131.58351506919394,7.824547865946979,7.824547865946979,1.0,432,36,1.0,30,30
9,36,0,,1.1417874482916983e-05,0.011788164009846261,0.02049758454075714,135.8761341161857,135.876682658124,7.8187412949585005,7.818788838578336,0.9734299516908212,414,36,1.0,30,30
10,36,0,,1.1161346269534561e-05,0.012249945635336016,0.020895261845424853,141.722014252338,141.722014252338,7.872228736956938,7.872228736956938,1.0,401,36,1.0,30,30
11,36,0,,1.05042355340522e-05,0.011209166823057731,0.019545882353045538,133.68257869669318,133.68257869669318,7.798046677712422,7.798046677712422,1.0,425,36,1.0,30,30
12,36,0,,1.0290654500180455e-05,0.011220633644906034,0.01997663551419549,131.07115196514013,131.07115196514013,7.838940324756085,7.838940324756085,1.0,428,36,1.0,30,30
13,36,0,,1.0526278915782567e-05,0.011385104418488567,0.020206976744148685,131.93657554811793,131.93657554811793,7.775911545426014,7.775911545426014,1.0,430,36,1.0,30,30
14,36,0,,1.0688571395197262e-05,0.01165459952334502,0.019735714285585952,134.92873802579442,134.929063193953,7.780041829984152,7.780053443132672,0.9928571428571429,420,36,1.0,30,30
15,36,0,,1.0940572990133451e-05,0.011321700238656066,0.02027207637198218,135.27051793511328,135.27051793511328,7.895122563395222,7.895122563395222,1.0,419,36,1.0,30,30
16,36,0,,1.1120803833633098e-05,0.011550821040102818,0.02074231678477833,132.35208897403407,132.3521363665453,7.83767289470734,7.837675264332901,0.9976359338061466,423,36,1.0,30,30
17,36,0,,1.196512205685239e-05,0.011952522438922442,0.02139268292706153,136.7039899038322,136.7039899038322,7.887969852620431,7.887969852620431,1.0,410,36,1.0,30,30
18,36,0,,1.0941162385208843e-05,0.011866181356569958,0.020559322033814588,136.1816351477713,136.1816351477713,7.851907582144835,7.851907582144835,1.0,413,36,1.0,30,30
19,36,0,,1.0759952261280356e-05,0.011388590758262528,0.02011611374452742,132.53737822760536,132.5375078493268,7.832681519678859,7.832703123299097,0.9976303317535545,422,36,1.0,30,30
20,36,0,,1.0660900822642008e-05,0.011730212085343505,0.020715639810353712,134.97046107347904,134.97046107347904,7.799524359821725,7.799524359821725,0.995260663507109,422,36,1.0,30,30
21,36,0,,1.0782619661075018e-05,0.011407114762100502,0.02028095238066661,134.08609137003984,134.08622106965106,7.823604689786604,7.823613644115819,0.9952380952380953,420,36,1.0,30,30
22,36,0,,1.1024761936693851e-05,0.011515749285622622,0.020728571428584735,135.65390090945886,135.6541738385009,7.790152706396921,7.790170901666389,0.9904761904761905,420,36,1.0,30,30
23,36,0,,1.0928813587664457e-05,0.011935093704692526,0.021673123486614595,137.62109901618925,137.6212210068597,7.838601680300138,7.838608457559608,0.9951573849878934,413,36,1.0,30,30
24,36,0,,1.122512285605651e-05,0.011918681526860266,0.0210788177341447,139.09416495979707,139.09416495979707,7.85774767219373,7.85774767219373,1.0,406,36,1.0,30,30
25,36,0,,1.0457798060822224e-05,0.011083419036417623,0.020256880733999956,129.55512211258738,129.55512211258738,7.781905165957008,7.781905165957008,1.0,436,36,1.0,30,30
26,36,0,,1.0881068377678726e-05,0.011775355825325852,0.020779126213560588,136.1548006119767,136.1548006119767,7.794831642242315,7.794831642242315,1.0,412,36,1.0,30,30
27,36,0,,1.1601946193446154e-05,0.011890134063299798,0.020615571776328216,138.12744182861053,138.12744182861053,7.867537164781669,7.867537164781669,1.0,411,36,1.0,30,30
28,36,0,,1.1080344114910253e-05,0.011956316461600421,0.021597051597107373,137.33540613355441,137.33540613355441,7.856295926327978,7.856295926327978,1.0,407,36,1.0,30,30
29,36,0,,1.0639400390933873e-05,0.011025870276510679,0.020041474654387,131.4551018462008,131.4551018462008,7.862953373172617,7.862953373172617,1.0,434,36,1.0,30,30
30,36,0,,1.0765083705190118e-05,0.011233557482424796,0.019928741092566066,131.74782275360334,131.74782275360334,7.809841257925274,7.809841257925274,1.0,421,36,1.0,30,30
