solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,method,spawn
adhoc,1,20,0,,True,0.5,0,0.0,1.0,9.351882163502879,0.9064811783649712,179.14454775227279,9.096826949138679,0.2264380311860676,0.28277199282637705,139,19.700000000000003,20.0,293,20.02061007943962,18.590500460153088,7.520136514451577e-06,7.82287891103225,0.0,3.4484412470023984,4.762589928057554,nan,nan,1.0,30,30,adhoc,20
adhoc,2,20,0,,True,0.5,0,0.0,1.0,9.53264027587204,0.9046735972412796,173.73242004112095,9.124461964411537,0.19036478979235807,0.2845887996700557,156,20.400000000000002,20.0,305,19.76901238140704,18.637391014454384,7.953442620240166e-06,7.865220396518136,0.0,5.146367521367521,5.9743589743589745,nan,nan,1.0,30,30,adhoc,20
adhoc,3,20,0,,True,0.5,0,0.0,1.0,8.998101814348624,0.9100189818565138,165.64401000509005,9.879244608728985,0.1421457860888595,0.2205619632788629,165,21.700000000000003,20.0,318,19.668292164698116,18.639734203258815,8.604088049219314e-06,7.862631274556357,0.0,2.3040404040404043,2.987878787878788,nan,nan,1.0,30,30,adhoc,20
adhoc,4,20,0,,True,0.5,0,0.0,1.0,8.202072455608988,0.9179792754439101,170.54220798666358,7.964932185848716,0.3050853239477766,0.44475056388531514,184,23.0,20.0,338,18.170362312057904,15.369417285542703,7.62928993801389e-06,7.751020017166892,0.0,2.7753623188405796,3.1739130434782608,nan,nan,1.0,30,30,adhoc,20
adhoc,5,20,0,,True,0.5,0,0.0,1.0,9.744451353433714,0.9025554864656629,165.26396782341564,9.254541646695463,0.18112211408478293,0.2725986830113604,152,20.3,20.0,304,19.495846513384123,18.258093775224058,7.661842103645037e-06,7.815892774188442,0.0,2.658991228070175,3.401315789473684,nan,nan,1.0,30,30,adhoc,20
adhoc,6,20,0,,True,0.5,0,0.0,1.0,8.645013099339128,0.9135498690066087,176.5211779107751,7.673365944649449,0.22470068159800605,0.337117861562741,150,20.200000000000003,20.0,303,19.675838568279314,17.650085594411003,7.836303634516292e-06,7.764759613216548,0.0,3.098888888888889,4.1466666666666665,nan,nan,1.0,30,30,adhoc,20
adhoc,7,20,0,,True,0.5,0,0.0,1.0,9.586642379048072,0.9041335762095193,183.1533780426103,9.0402081839961,0.2333297523454848,0.28522847257181955,145,20.6,20.0,307,20.047441518037523,18.866283021218724,7.446254070636394e-06,7.779338443606784,0.0,3.0402298850574714,3.6,nan,nan,1.0,30,30,adhoc,20
adhoc,8,20,0,,True,0.5,0,0.0,1.0,10.383264896548038,0.8961673510345196,179.02732653364717,8.824792120707533,0.20090354047009204,0.26534475720115686,141,20.6,20.0,298,20.139111710951397,18.943014507196462,7.756040272946873e-06,7.813573551427769,0.0,3.875886524822695,5.113475177304965,nan,nan,1.0,30,30,adhoc,20
adhoc,9,20,0,,True,0.5,0,0.0,1.0,8.121268517873892,0.9187873148212611,169.47059124317977,7.634040621403321,0.22237882060962336,0.3236518574546999,157,20.6,20.0,309,19.221768663377315,16.841956948490026,7.559223297559001e-06,7.818580030114269,0.0,2.4872611464968153,3.1910828025477707,nan,nan,1.0,30,30,adhoc,20
adhoc,10,20,0,,True,0.5,0,0.0,1.0,8.45119242422162,0.9154880757577838,170.55144947281747,6.8067073049366,0.23468386538120903,0.3240187375209887,152,19.900000000000002,20.0,301,19.542129298707604,17.910643201665955,7.509634551722027e-06,7.811211271586972,0.0,2.239035087719298,2.9342105263157894,nan,nan,1.0,30,30,adhoc,20
