seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,44,0,,1.1476091216434483e-05,0.012573776091793852,0.021615384615893116,142.51636971016,142.51636971016,7.814633512356312,7.814633512356312,1.0,481,44,1.0,30,30
2,44,0,,1.1613607214518357e-05,0.013246615982877711,0.02175377969775016,149.08925373306562,149.08925890714124,7.814386274916819,7.814386598296544,0.9978401727861771,463,44,1.0,30,30
3,44,0,,1.1338124750182033e-05,0.012506781041702197,0.02124791666622817,143.9326415503816,143.93271930032955,7.83738720028561,7.837390079913312,0.9958333333333333,480,44,1.0,30,30
4,44,0,,1.1585169069526196e-05,0.013510504025901555,0.021953389830402664,148.66230457183437,148.66246197167774,7.801744602561028,7.801755524564756,0.989406779661017,472,44,1.0,30,30
5,44,0,,1.242995661194637e-05,0.01336622758637908,0.02211422413799075,150.4238306260018,150.4238306260018,7.853786686012282,7.853786686012282,1.0,464,44,1.0,30,30
6,44,0,,1.1523126738447082e-05,0.013052716702038355,0.021693790150035773,148.41980463090144,148.42001730898818,7.833464176890571,7.833476687366261,0.9957173447537473,467,44,1.0,30,30
7,44,0,,1.1350736910428264e-05,0.012823404210656392,0.02139368421051921,141.27702728057108,141.27703589533422,7.805829328623641,7.805829606519227,0.9978947368421053,475,44,1.0,30,30
8,44,0,,1.2020575979230121e-05,0.012710757613521733,0.02101028806595453,143.90001953995997,143.9001407289963,7.804401596428825,7.804406645972006,0.9958847736625515,486,44,1.0,30,30
9,44,0,,1.1987260632036993e-05,0.013173533545557612,0.02147983014864739,146.61453142606138,146.6150135839434,7.7973971179385915,7.797435248023441,0.9766454352441614,471,44,1.0,30,30
10,44,0,,1.1479999976354125e-05,0.013500253043520902,0.02197826086928177,149.92330101091048,149.92330101091048,7.829742598802642,7.829742598802642,1.0,460,44,1.0,30,30
11,44,0,,1.103096240600493e-05,0.012705909205004173,0.021399581589941596,145.13305005550453,145.13305005550453,7.7812583776973865,7.7812583776973865,1.0,478,44,1.0,30,30
12,44,0,,1.0905030984734137e-05,0.012683706918003553,0.021171907757031115,144.44093615909907,144.44093615909907,7.84153204400075,7.84153204400075,1.0,477,44,1.0,30,30
13,44,0,,1.127106429231254e-05,0.01315097170210062,0.02174680851089664,147.1940045760954,147.1940045760954,7.789765771351529,7.789765771351529,1.0,470,44,1.0,30,30
14,44,0,,1.14112971988643e-05,0.01295277866101132,0.021315899581586792,145.5040243251834,145.50431003779136,7.801484584324791,7.801494788346504,0.9937238493723849,478,44,1.0,30,30
15,44,0,,1.1304883788598824e-05,0.012797609129813085,0.0218174097668209,147.40651357449264,147.40651357449264,7.885600623112542,7.885600623112542,1.0,471,44,1.0,30,30
16,44,0,,1.1579660892139299e-05,0.012993105084622245,0.02200211864414919,145.74600177815,145.74604425067594,7.827130690106465,7.827132813732762,0.9978813559322034,472,44,1.0,30,30
17,44,0,,1.2655305054930142e-05,0.01378670857775022,0.022812641083389526,154.8517940967059,154.8517940967059,7.884707923707606,7.884707923707606,1.0,443,44,1.0,30,30
18,44,0,,1.1000422883658703e-05,0.012874508879240259,0.021393234672286474,145.0749954980404,145.0749954980404,7.827980091879007,7.827980091879007,1.0,473,44,1.0,30,30
19,44,0,,1.146069858233367e-05,0.013329358951658352,0.02248034934520515,149.98034116773624,149.98087302242635,7.87043256035025,7.870534950184457,0.9934497816593887,458,44,1.0,30,30
20,44,0,,1.1309341865150761e-05,0.013240044161300679,0.021687898088917395,148.08274983345655,148.08274983345655,7.819124848162527,7.819124848162527,0.9957537154989384,471,44,1.0,30,30
21,44,0,,1.1283647931870112e-05,0.012827842767361115,0.02147169811329565,144.9419583677,144.94207256861554,7.821432949169807,7.821440833484838,0.9958071278825996,477,44,1.0,30,30
22,44,0,,1.1447083670645952e-05,0.012737762082754974,0.021008333333429618,144.68435650866638,144.68435650866638,7.788448147138994,7.788448147138994,0.9979166666666667,480,44,1.0,30,30
23,44,0,,1.1454430533541595e-05,0.013200893249121525,0.02158438818580702,146.92900984245446,146.92911613390365,7.857234600645894,7.857240505726403,0.9957805907172996,474,44,1.0,30,30
24,44,0,,1.1645397116580128e-05,0.012954097280526489,0.02143933054400831,144.46916620013167,144.4691725262181,7.835231453150397,7.835231664019945,0.997907949790795,478,44,1.0,30,30
25,44,0,,1.1500630359226024e-05,0.013030913445083355,0.021107142857033044,145.99825320649396,145.99825320649396,7.830206141234643,7.830206141234643,1.0,476,44,1.0,30,30
26,44,0,,1.1279035859450354e-05,0.012884740880617298,0.021966457023036148,143.57467486107274,143.57467486107274,7.79630548267811,7.79630548267811,1.0,477,44,1.0,30,30
27,44,0,,1.210826263497623e-05,0.013187308050611923,0.02157627118655093,147.07143718860272,147.07143718860272,7.841441817138142,7.841441817138142,1.0,472,44,1.0,30,30
28,44,0,,1.2442290742926727e-05,0.013640634581192277,0.022389867841587904,150.26085619835536,150.26085619835536,7.8365733515818965,7.8365733515818965,1.0,454,44,1.0,30,30
29,44,0,,1.1431034432336737e-05,0.013026760344818568,0.02168318965542657,149.6311983916039,149.6311983916039,7.869090881813584,7.869090881813584,1.0,464,44,1.0,30,30
30,44,0,,1.1615517686205467e-05,0.013059078663774988,0.021635775861890076,146.84556590452993,146.84556590452993,7.818401906314007,7.818401906314007,1.0,464,44,1.0,30,30
