seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,28,0,,1.0161111115141668e-05,0.009573156944437262,0.01887777777802613,119.10777901998824,119.10777901998824,7.810924974732147,7.810924974732147,1.0,360,28,1.0,30,30
2,28,0,,1.0471671315770143e-05,0.010100495467820237,0.01889235127485415,124.52312620935284,124.52313299574662,7.827811510443418,7.827811934593028,0.9971671388101983,353,28,1.0,30,30
3,28,0,,1.0203174646468291e-05,0.009106280952875278,0.018259259259033205,115.58066835088114,115.58076708097376,7.827663533811741,7.827667190481837,0.9947089947089947,378,28,1.0,30,30
4,28,0,,1.0679552065148554e-05,0.010292001961272586,0.019439775910370667,125.81401442374745,125.81425652535732,7.811215196281805,7.811236301078435,0.9831932773109243,357,28,1.0,30,30
5,28,0,,1.052784140979797e-05,0.010092378692702781,0.01950568181800091,125.30846809969675,125.30846809969675,7.860481536660637,7.860481536660637,1.0,352,28,1.0,30,30
6,28,0,,1.0299999816869142e-05,0.009641805509406465,0.019614325069058136,121.542424967043,121.54269857769454,7.82650314218416,7.826519236928367,0.9944903581267218,363,28,1.0,30,30
7,28,0,,1.0139718414021944e-05,0.00972852337983286,0.01914366197163193,119.66200455512589,119.66200455512589,7.81004401621264,7.81004401621264,1.0,355,28,1.0,30,30
8,28,0,,9.62119696411e-06,0.008758358852631537,0.01768079800512398,108.50381967939185,108.50381967939185,7.76838158804825,7.76838158804825,1.0,401,28,1.0,30,30
9,28,0,,1.0609366038183043e-05,0.009813275757776805,0.01897520661190827,120.06030861395186,120.06084340432254,7.794187914425273,7.79423204667799,0.9752066115702479,363,28,1.0,30,30
10,28,0,,1.0458620583930256e-05,0.010270441379434905,0.01922988505733277,126.0246049700926,126.0246049700926,7.813703561623781,7.813703561623781,1.0,348,28,1.0,30,30
11,28,0,,9.919148880649021e-06,0.009371477925285828,0.01823404255315217,117.23776072487126,117.23776072487126,7.788185230972806,7.788185230972806,1.0,376,28,1.0,30,30
12,28,0,,9.983701300833025e-06,0.00970319751408903,0.01851104972404087,119.75968851495215,119.75968851495215,7.836585824184004,7.836585824184004,1.0,362,28,1.0,30,30
13,28,0,,9.912261997897696e-06,0.009751210082290638,0.018386920980826192,121.15181892875272,121.15181892875272,7.772863582254877,7.772863582254877,1.0,367,28,1.0,30,30
14,28,0,,1.0231111648156204e-05,0.00993809555596575,0.018736111111138598,121.97832546685171,121.9787048297034,7.802510288545542,7.802526019879733,0.9916666666666667,360,28,1.0,30,30
15,28,0,,9.801626431965206e-06,0.009344335772460868,0.01892953929551284,118.36588205153548,118.36588205153548,7.860524229330138,7.860524229330138,1.0,369,28,1.0,30,30
16,28,0,,1.0011681193682204e-05,0.00979196666646185,0.018920227920237207,122.02329650246676,122.02335361651875,7.815700310426175,7.815703166128777,0.9971509971509972,351,28,1.0,30,30
17,28,0,,1.0177840563714694e-05,0.009869825284030494,0.01868749999965241,122.5316643503721,122.5316643503721,7.865454367712958,7.865454367712958,1.0,352,28,1.0,30,30
18,28,0,,1.0330523447157966e-05,0.010043803779364341,0.019247093023295747,125.88554016798159,125.88554016798159,7.863662442567582,7.863662442567582,1.0,344,28,1.0,30,30
19,28,0,,9.99835166302356e-06,0.009718000274925533,0.01908241758268719,118.9508335988479,118.95098387457988,7.833676101141755,7.833701147097084,0.9972527472527473,364,28,1.0,30,30
20,28,0,,1.054899149738059e-05,0.010420444092563331,0.019487031700672657,127.31209721347831,127.31209721347831,7.835207437030531,7.835207437030531,1.0,347,28,1.0,30,30
21,28,0,,1.0399155205601013e-05,0.009924594366399926,0.019349295774623947,123.69993413645358,123.70008758388093,7.840219815509305,7.840230409363586,0.9943661971830986,355,28,1.0,30,30
22,28,0,,1.0376666695164103e-05,0.00971160527802163,0.01886111111093164,121.25559698077463,121.25559698077463,7.760840142116607,7.760840142116607,0.9972222222222222,360,28,1.0,30,30
23,28,0,,1.0268181747299174e-05,0.010174140056981494,0.019713068182020586,125.37093248151032,125.37107561260949,7.85133287122003,7.851340822947762,0.9943181818181818,352,28,1.0,30,30
24,28,0,,1.0031318547239956e-05,0.00959644038512424,0.019030219780168927,120.26722139304256,120.26722139304256,7.844301213475294,7.844301213475294,1.0,364,28,1.0,30,30
25,28,0,,9.784677756890173e-06,0.00948748279587298,0.01856720430093632,117.89395513643898,117.89395513643898,7.763682941235541,7.763682941235541,1.0,372,28,1.0,30,30
26,28,0,,1.0489826055100122e-05,0.010354707557865389,0.019627906976258897,127.90206092771828,127.90206092771828,7.849137541537029,7.849137541537029,1.0,344,28,1.0,30,30
27,28,0,,1.0725770293048867e-05,0.009881453501048866,0.019011204481946306,123.4762423204648,123.4762423204648,7.87985427677876,7.87985427677876,1.0,357,28,1.0,30,30
28,28,0,,1.0473333363272789e-05,0.01030140376828638,0.019608695652130047,126.29722340630327,126.29727322970592,7.850309482403629,7.850319447084162,0.9971014492753624,345,28,1.0,30,30
29,28,0,,1.0037566767697513e-05,0.009331650794058713,0.018732804232511037,117.2711612071389,117.2711612071389,7.874582716472522,7.874582716472522,1.0,378,28,1.0,30,30
30,28,0,,1.0254901784266076e-05,0.009617769747608243,0.018767507002915254,120.04016134679156,120.04016134679156,7.853852679148021,7.853852679148021,1.0,357,28,1.0,30,30
