solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,method,spawn
adhoc,1,8,0,,True,0.5,0,0.0,1.0,7.456588362169558,0.9254341163783044,181.46929708121505,9.130191938918912,0.17617896855440418,0.24395493916798006,75,12.8,8.0,230,20.181796523810217,18.99125135618095,6.082608695370927e-06,7.7306206609863235,0.0,2.7466666666666666,3.6666666666666665,nan,nan,1.0,30,30,adhoc,8
adhoc,2,8,0,,True,0.5,0,0.0,1.0,9.97128993796953,0.9002871006203047,169.38108822439733,10.0,0.15607029227858624,0.2950964150874748,63,11.5,8.0,212,20.24807899455591,19.57391580095953,6.3754716982117005e-06,7.9025780604267135,0.0,2.9682539682539684,3.3333333333333335,nan,nan,1.0,30,30,adhoc,8
adhoc,3,8,0,,True,0.5,0,0.0,1.0,6.487606554393133,0.9351239344560687,172.52143614055538,9.323845871966679,0.17186139144010848,0.24824671401764878,68,12.3,8.0,220,20.002413202312972,19.143039704513985,6.304545455681033e-06,7.843149563525784,0.0,2.401960784313726,3.764705882352941,nan,nan,1.0,30,30,adhoc,8
adhoc,4,8,0,,True,0.5,0,0.0,1.0,10.910563829972508,0.8908943617002749,175.4060632321951,7.404719225121992,0.261607566399677,0.34669082074514934,60,11.8,8.0,213,20.258543899767204,18.1274587716262,6.7572769977796015e-06,7.8385388207905855,0.0,4.0,4.0,nan,nan,1.0,30,30,adhoc,8
adhoc,5,8,0,,True,0.5,0,0.0,1.0,8.821848265715648,0.9117815173428435,164.30373891970754,8.98985890852742,0.16608134827501028,0.2809114892333274,75,12.5,8.0,226,19.635717411624263,18.53428345693161,6.291150443496362e-06,7.857047217787016,0.0,2.1755555555555555,2.493333333333333,nan,nan,1.0,30,30,adhoc,8
adhoc,6,8,0,,True,0.5,0,0.0,1.0,10.210571238920018,0.8978942876107998,167.51067330488573,8.784095804651415,0.16919418432119152,0.28837891366948454,72,12.4,8.0,225,20.08103420536437,18.57652220807235,6.362222225359599e-06,7.855460107954008,0.0,2.2384259259259256,2.8472222222222223,nan,nan,1.0,30,30,adhoc,8
adhoc,7,8,0,,True,0.5,0,0.0,1.0,11.315917097874218,0.8868408290212578,167.87169423748585,7.293174103752118,0.21169860948056618,0.26971282059143925,61,12.9,8.0,221,20.295652263110743,19.530731060730183,6.384162894367229e-06,7.814325013818668,0.0,3.202185792349727,3.377049180327869,nan,nan,1.0,30,30,adhoc,8
adhoc,8,8,0,,True,0.5,0,0.0,1.0,6.463370947157776,0.9353662905284222,176.95156366872573,9.075182304353786,0.16391865198239927,0.2417459668141474,73,12.9,8.0,230,19.794025015919477,18.747900826783415,6.167391299898198e-06,7.839206604590645,0.0,3.029680365296804,3.7260273972602738,nan,nan,1.0,30,30,adhoc,8
adhoc,9,8,0,,True,0.5,0,0.0,1.0,9.661223649097394,0.903387763509026,166.84009794727774,8.500277101484222,0.15511573819439922,0.21934291868220135,64,11.5,8.0,216,20.230397459822736,19.61563951698478,6.255092589273974e-06,7.936070684255383,0.0,3.497395833333333,4.109375,nan,nan,1.0,30,30,adhoc,8
adhoc,10,8,0,,True,0.5,0,0.0,1.0,9.218386174798876,0.9078161382520112,169.60728945837812,9.320140113061257,0.15856004710727759,0.2563386642236484,73,12.100000000000001,8.0,222,19.981166313146474,18.73828406896885,6.137387385718752e-06,7.864106127698004,0.0,2.1164383561643834,2.4246575342465753,nan,nan,1.0,30,30,adhoc,8
adhoc,11,8,0,,True,0.5,0,0.0,1.0,7.42156432608877,0.9257843567391123,166.13150459524465,10.0,0.11135144674538466,0.1772385224045012,73,12.8,8.0,229,19.48034723144286,18.884172010868802,6.090829694881293e-06,7.8252688531991526,0.0,1.9429223744292234,2.2739726027397262,nan,nan,1.0,30,30,adhoc,8
adhoc,12,8,0,,True,0.5,0,0.0,1.0,12.328196788128343,0.8767180321187166,156.41592295136218,8.023738977159484,0.15467659926795055,0.21879655528831912,75,13.0,8.0,230,19.962455470541556,19.133025278446162,6.293913041773798e-06,7.957779754355436,0.0,4.0,4.0,nan,nan,1.0,30,30,adhoc,8
adhoc,13,8,0,,True,0.5,0,0.0,1.0,5.843856879790477,0.9415614312020952,170.97598938897386,7.01127224113629,0.29307389110025844,0.4562442004693165,83,14.0,8.0,247,18.01484190173986,15.756112416688477,6.1489878537311315e-06,7.626669628366882,0.0,1.9799196787148592,2.4939759036144578,nan,nan,1.0,30,30,adhoc,8
adhoc,14,8,0,,True,0.5,0,0.0,1.0,11.389252310494625,0.8861074768950538,163.67810781882264,6.67983946174483,0.18881249430092423,0.2472861642133413,77,12.600000000000001,8.0,227,20.121912778955082,19.0523674333032,6.188546256459274e-06,7.835813679578188,0.0,2.5238095238095237,2.909090909090909,nan,nan,1.0,30,30,adhoc,8
adhoc,15,8,0,,True,0.5,0,0.0,1.0,7.427808833171834,0.9257219116682817,173.90209137322685,8.090950566397618,0.14652345501339314,0.24105609182105475,71,12.9,8.0,230,20.38149439383726,19.33659794234566,5.941304348148744e-06,7.854168107462264,0.0,3.0,3.591549295774648,nan,nan,1.0,30,30,adhoc,8
adhoc,16,8,0,,True,0.5,0,0.0,1.0,8.017804368563496,0.919821956314365,168.23348377172059,6.41723362366074,0.23851803937172095,0.32677718378567855,78,12.4,8.0,225,20.275665744706593,18.75241298412627,6.189777776499896e-06,7.841331808865622,0.0,2.051282051282051,2.423076923076923,nan,nan,1.0,30,30,adhoc,8
adhoc,17,8,0,,True,0.5,0,0.0,1.0,8.33355536816114,0.9166644463183886,163.90287087450423,10.0,0.1149114466138119,0.20043017291531312,74,12.100000000000001,8.0,223,19.76812563388233,19.24154938764447,6.123318384974718e-06,7.906812195286767,0.0,3.8130630630630624,4.527027027027027,nan,nan,1.0,30,30,adhoc,8
adhoc,18,8,0,,True,0.5,0,0.0,1.0,11.257124474150238,0.8874287552584976,162.85908730998656,6.892064716796907,0.19651710241489448,0.25751626972491554,78,12.3,8.0,224,20.129474446024354,18.46796849055469,6.169642856030626e-06,7.935328448000817,0.0,4.5,4.589743589743589,nan,nan,1.0,30,30,adhoc,8
adhoc,19,8,0,,True,0.5,0,0.0,1.0,8.05946862794692,0.9194053137205308,168.01984452137592,10.0,0.1464476285418245,0.24539617142354678,70,12.100000000000001,8.0,217,19.787966495543905,19.170347977782423,6.300460831084296e-06,7.909734300521345,0.0,3.0785714285714287,3.8714285714285714,nan,nan,1.0,30,30,adhoc,8
adhoc,20,8,0,,True,0.5,0,0.0,1.0,10.580638035972278,0.8941936196402772,165.66907655032404,7.467818318898855,0.16454556063507023,0.23776474690667673,66,11.600000000000001,8.0,216,20.661170186664357,19.633465021722348,6.170370372476302e-06,7.869638681917333,0.0,3.123737373737374,4.090909090909091,nan,nan,1.0,30,30,adhoc,8
adhoc,21,8,0,,True,0.5,0,0.0,1.0,8.672952673403245,0.9132704732659676,169.2586974689484,7.56950264763326,0.20940398289094575,0.3610695038655963,77,12.5,8.0,224,19.83549329606734,17.499839035594814,6.0892857121075394e-06,7.834162685669205,0.0,2.227272727272727,2.883116883116883,nan,nan,1.0,30,30,adhoc,8
adhoc,22,8,0,,True,0.5,0,0.0,1.0,6.625837270903501,0.933741627290965,176.20680539306954,6.762665210581975,0.1992202784233432,0.2725100916479418,61,11.3,8.0,210,20.392964944423017,19.11588243220695,6.152380949569782e-06,7.766657184639182,0.0,1.5710382513661203,2.2459016393442623,nan,nan,1.0,30,30,adhoc,8
adhoc,23,8,0,,True,0.5,0,0.0,1.0,11.221573018716779,0.8877842698128322,156.95514607387094,7.578569728926558,0.1499718377781242,0.22223005091149198,62,11.4,8.0,215,20.122183256658555,19.56324611791437,6.194883721575955e-06,7.912667372647238,0.0,4.693548387096774,5.387096774193548,nan,nan,1.0,30,30,adhoc,8
adhoc,24,8,0,,True,0.5,0,0.0,1.0,11.235923335681097,0.887640766643189,178.88757160224984,10.0,0.19253604118966505,0.297698970417267,69,12.3,8.0,218,19.565215376663772,18.78605108660655,6.1178899091857705e-06,7.892126374330442,0.0,7.420289855072464,7.420289855072464,nan,nan,1.0,30,30,adhoc,8
adhoc,25,8,0,,True,0.5,0,0.0,1.0,5.382100895603648,0.9461789910439635,170.9662449330074,8.967478616153322,0.13776997210195008,0.21616396537299462,76,13.600000000000001,8.0,233,19.594548895719225,18.801582245158674,6.098712448763474e-06,7.746533268115991,0.0,1.4605263157894737,1.5657894736842106,nan,nan,1.0,30,30,adhoc,8
adhoc,26,8,0,,True,0.5,0,0.0,1.0,7.912156499233369,0.9208784350076663,176.11262943673125,8.633982405587005,0.20699893080824572,0.30950304588585104,71,12.0,8.0,219,19.773004063366482,17.9592736787829,6.406849314829676e-06,7.777586611039716,0.0,2.1455399061032865,3.028169014084507,nan,nan,1.0,30,30,adhoc,8
adhoc,27,8,0,,True,0.5,0,0.0,1.0,7.578747796690887,0.9242125220330911,167.56360060500472,8.412555977762423,0.1113078614517165,0.2018016442868641,82,13.200000000000001,8.0,233,19.990917638827575,19.472173089679238,5.969527897196193e-06,7.809200421736095,0.0,2.861788617886179,3.4390243902439024,nan,nan,1.0,30,30,adhoc,8
adhoc,28,8,0,,True,0.5,0,0.0,1.0,9.726724082949545,0.9027327591705046,164.0690395215993,10.0,0.16429237742848543,0.2644929929851557,68,12.700000000000001,8.0,226,19.668957103217913,18.174391726578538,6.086283185062454e-06,7.886836915655436,0.0,2.740196078431372,3.235294117647059,nan,nan,1.0,30,30,adhoc,8
adhoc,29,8,0,,True,0.5,0,0.0,1.0,12.485326550829646,0.8751467344917035,164.1932822714628,10.0,0.16069609756288247,0.23088384598792513,65,11.9,8.0,219,19.62978870855198,18.68783589643431,6.191780824713753e-06,7.997327601445034,0.0,7.523076923076923,7.523076923076923,nan,nan,1.0,30,30,adhoc,8
adhoc,30,8,0,,True,0.5,0,0.0,1.0,6.5884122391618005,0.934115877608382,182.36233456140414,9.469077439476289,0.16136543166863668,0.23579255693284887,65,11.700000000000001,8.0,210,20.191500833910048,19.55676357021778,6.392380951291714e-06,7.735885909852948,0.0,2.625641025641026,4.061538461538461,nan,nan,1.0,30,30,adhoc,8
greedy_faithful,1,8,0,,True,0.5,0,0.0,1.0,7.132098611481863,0.9286790138851814,179.59378205479558,7.836909987827518,0.18251125391568782,0.2506236663031997,75,12.8,8.0,230,20.18633763244117,18.99125135618095,6.178695651254637e-06,7.8095409447215,0.0,2.551111111111111,3.3866666666666667,nan,nan,1.0,30,30,greedy_faithful,8
greedy_faithful,2,8,0,,True,0.5,0,0.0,1.0,10.039466486032056,0.8996053351396794,169.14247980604887,10.0,0.15767457035345264,0.29333943837266013,63,11.5,8.0,211,20.24807899455591,19.57391580095953,6.309478672465565e-06,7.903777012835689,0.0,2.9682539682539684,3.3333333333333335,nan,nan,1.0,30,30,greedy_faithful,8
greedy_faithful,3,8,0,,True,0.5,0,0.0,1.0,8.850502208239808,0.9114949779176019,177.1024830905885,10.0,0.16719001570124412,0.24267502915131145,66,12.5,8.0,218,19.77693142372138,18.979669944274352,6.407339450625933e-06,7.8734474193644655,0.0,3.4570707070707067,4.606060606060606,nan,nan,1.0,30,30,greedy_faithful,8
greedy_faithful,4,8,0,,True,0.5,0,0.0,1.0,10.90801569576123,0.8909198430423877,175.48223375359296,7.409688953513656,0.261346469793933,0.3464522535722742,60,11.8,8.0,213,20.25569361728134,18.127035042812647,6.39201877548047e-06,7.8378493823468505,0.0,4.0,4.0,nan,nan,1.0,30,30,greedy_faithful,8
