solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn,density,vph
no_platooning,1,50,0.1,0,,True,0.5,0,0.0,1.0,3.650034892008136,0.9634996510799186,172.30778670552561,10.0,0.07988617805728376,0.1851535601655205,601,66.10000000000001,50.0,762,19.445278075802293,18.21583676004836,6.064566892994631e-06,7.656201786851678,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,2,50,0.1,0,,True,0.5,0,0.0,1.0,3.8843703959115183,0.9611562960408848,172.45409588643838,10.0,0.058934506536316454,0.15732882693566944,582,64.10000000000001,50.0,743,19.648280509083328,18.931077869254114,4.983043707380745e-06,7.661991325399229,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,3,50,0.1,0,,True,0.5,0,0.0,1.0,2.833422413208242,0.9716657758679176,174.25718934117842,10.0,0.053254280375485435,0.1320192673679201,599,68.10000000000001,50.0,783,19.609279009538824,18.835152574614646,6.089910212428444e-06,7.66666834441346,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,4,50,0.1,0,,True,0.5,0,0.0,1.0,3.214738334076439,0.9678526166592356,173.15782275139182,10.0,0.06574866550212381,0.13168956589357877,585,65.4,50.0,755,19.520396322326594,18.748667369039698,5.690994154390515e-06,7.661296137726008,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,5,50,0.1,0,,True,0.5,0,0.0,1.0,3.9072815072891065,0.9609271849271089,171.8536587388914,10.0,0.06693522669979825,0.1555099791230491,583,63.400000000000006,50.0,735,19.52727513271475,18.549675780897676,5.223673727160611e-06,7.663085190512867,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,6,50,0.1,0,,True,0.5,0,0.0,1.0,3.535307998452497,0.964646920015475,172.81873343179825,10.0,0.051115790009523716,0.13809629559038578,584,65.4,50.0,756,19.615988179535755,18.82824152886412,5.1342593949465525e-06,7.665747481192161,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,7,50,0.1,0,,True,0.5,0,0.0,1.0,3.763517183272169,0.9623648281672783,171.8211724182577,10.0,0.06457228173584195,0.1634920037402279,602,66.9,50.0,771,19.510525613743134,18.609586014132454,6.186641555221512e-06,7.659387509252195,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,8,50,0.1,0,,True,0.5,0,0.0,1.0,3.6339742584128754,0.9636602574158712,172.1672664524724,10.0,0.08460972315003125,0.18951385589167571,587,67.0,50.0,772,19.423917059973686,18.247142062704516,5.328497871119587e-06,7.655216675837858,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,9,50,0.1,0,,True,0.5,0,0.0,1.0,3.744904991642739,0.9625509500835726,172.11519797185414,10.0,0.08443437569109977,0.20098387880810062,587,65.10000000000001,50.0,752,19.4517396146039,18.30302255722762,5.510902949336401e-06,7.6531749117742285,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
no_platooning,10,50,0.1,0,,True,0.5,0,0.0,1.0,3.895490294307269,0.9610450970569273,172.19059056884842,10.0,0.05672876035059791,0.13935620140932967,557,63.2,50.0,734,19.57049742781271,18.758089947608497,5.981471416177558e-06,7.664018613615447,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.1,1000
