seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,8,0,,6.819130351726452e-06,0.0026268817391373097,0.012373913043373487,51.541483600581564,51.541483600581564,7.8095409447215,7.8095409447215,1.0,230,8,1.0,30,30
2,8,0,,7.120282460610329e-06,0.0029509957549755266,0.013632075471626726,56.6915872520639,56.69185429434218,7.902079508938009,7.902112889222794,0.9764150943396226,212,8,1.0,30,30
3,8,0,,7.0940354441659986e-06,0.002853239908624321,0.013055045871515843,56.17930585622162,56.17930585622162,7.8734474193644655,7.8734474193644655,1.0,218,8,1.0,30,30
4,8,0,,6.941475002588661e-06,0.0029506405526053265,0.012953917050832337,55.766683973366234,55.766683973366234,7.82458453695266,7.82458453695266,1.0,217,8,1.0,30,30
5,8,0,,6.911062544821638e-06,0.0026677442470280067,0.013150442477979644,53.37782286436476,53.37782286436476,7.869447089971677,7.869447089971677,1.0,226,8,1.0,30,30
6,8,0,,7.060444655103816e-06,0.002697594222716159,0.013542222222313285,53.04142130059258,53.04142130059258,7.855460107954008,7.855460107954008,1.0,225,8,1.0,30,30
7,8,0,,7.055655840312329e-06,0.002876516741440248,0.013497737556528954,55.0458511798564,55.0458511798564,7.814325013818668,7.814325013818668,1.0,221,8,1.0,30,30
8,8,0,,6.916086409625638e-06,0.0027542304346317666,0.01277391304332844,52.655071178694115,52.655071178694115,7.819429301642753,7.819429301642753,1.0,230,8,1.0,30,30
9,8,0,,7.752777256192294e-06,0.002918834722044671,0.012824074074160308,56.291493717120424,56.293773962479264,7.914255315705744,7.914540346375599,0.9398148148148148,216,8,1.0,30,30
10,8,0,,6.918017993689523e-06,0.0027339792792551087,0.011621621621695036,53.32522257438657,53.32522257438657,7.823495750188231,7.823495750188231,1.0,222,8,1.0,30,30
11,8,0,,6.865919228317425e-06,0.0027445973093008554,0.012663677130145075,54.79228271504663,54.79228271504663,7.778540801594071,7.778540801594071,1.0,223,8,1.0,30,30
12,8,0,,7.161304212944663e-06,0.0027387882606252907,0.013382608695942705,54.26010492898101,54.26010492898101,7.957779754355436,7.957779754355436,1.0,230,8,1.0,30,30
13,8,0,,6.910788230559329e-06,0.0027368950210844988,0.013352697095408634,52.140339499141966,52.140339499141966,7.616010887305414,7.616010887305414,1.0,241,8,1.0,30,30
14,8,0,,6.961233535420461e-06,0.0026835969159233956,0.01370044052857282,52.60608102716989,52.60608102716989,7.835813679578188,7.835813679578188,1.0,227,8,1.0,30,30
15,8,0,,6.775652708829907e-06,0.002610576956510119,0.01318260869561725,52.34737618034739,52.34737618034739,7.854267871642807,7.854267871642807,1.0,230,8,1.0,30,30
16,8,0,,6.8973330134111975e-06,0.0026708595561406884,0.013133333333405769,52.32538846538475,52.32538846538475,7.8435683018814695,7.8435683018814695,1.0,225,8,1.0,30,30
17,8,0,,6.87219756404815e-06,0.0027335636779606434,0.012968609865372186,53.58706358835946,53.58706358835946,7.864708084956801,7.864708084956801,1.0,223,8,1.0,30,30
18,8,0,,6.955803395872603e-06,0.0027132473212857023,0.012839285713978046,53.33321152656072,53.33321152656072,7.916205049501,7.916205049501,1.0,224,8,1.0,30,30
19,8,0,,7.288940403769265e-06,0.0029656686630311385,0.013622119815895133,56.754484051186964,56.75473612660835,7.909734300521345,7.909776313091575,0.9953917050691244,217,8,1.0,30,30
20,8,0,,7.097685267109665e-06,0.0027958652776928997,0.01300925925924848,55.26761294479396,55.26761294479396,7.882259309981017,7.882259309981017,1.0,216,8,1.0,30,30
21,8,0,,7.047767602281445e-06,0.002837076339086967,0.013540178571474826,54.057244894165855,54.057244894165855,7.828326451710209,7.828326451710209,1.0,224,8,1.0,30,30
22,8,0,,7.296059257121472e-06,0.002990267980368372,0.014246305418825878,58.225438378984734,58.225438378984734,7.782578491853476,7.782578491853476,1.0,203,8,1.0,30,30
23,8,0,,7.214952517566314e-06,0.002910782710353139,0.01298130841110561,57.40364546286579,57.40479195218229,7.908994868609852,7.909138179774415,0.985981308411215,214,8,1.0,30,30
24,8,0,,7.374770458736414e-06,0.002895484862281992,0.013123853210895963,55.98305042581712,55.98305042581712,7.897433390058772,7.897433390058772,1.0,218,8,1.0,30,30
25,8,0,,6.7150220649652665e-06,0.0026769875538787233,0.01280686695290062,52.60504179769042,52.60504179769042,7.746533268115991,7.746533268115991,1.0,233,8,1.0,30,30
26,8,0,,6.978538926035914e-06,0.0027349114159683453,0.012502283105011667,53.76176862337514,53.76176862337514,7.814675137981563,7.814675137981563,1.0,219,8,1.0,30,30
27,8,0,,6.9974247758904306e-06,0.0026767351924413775,0.0128068669526508,51.853945451896685,51.853945451896685,7.809200421736095,7.809200421736095,1.0,233,8,1.0,30,30
28,8,0,,7.03407091447111e-06,0.0027447646017344997,0.012999999999911915,54.85174158286264,54.85174158286264,7.886836915655436,7.886836915655436,1.0,226,8,1.0,30,30
29,8,0,,7.2683963154767695e-06,0.0029373952828842995,0.013627358490682454,57.97391446518892,57.97391446518892,7.96301359839435,7.96301359839435,1.0,212,8,1.0,30,30
30,8,0,,7.191549264060709e-06,0.0028441323939177423,0.013737089202046271,55.639305109313085,55.639305109313085,7.793126536568401,7.793126536568401,1.0,213,8,1.0,30,30
