solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,sweep,level
auc_comm,1,20,1.0,0,,True,0.5,0,0.0,1.0,9.586835124858107,0.9041316487514189,178.8126513026955,8.187135740056435,0.19114511122864908,0.2509927449404233,136,19.700000000000003,20.0,289,20.05115646805317,18.757285842072417,1.2799999781378309e-05,7.814008466099244,0.0,3.4742647058823533,4.5588235294117645,2.121107266435986,0.0,1.0,30,30,delay,A
auc_comm,2,20,1.0,0,,True,0.5,0,0.0,1.0,9.806921686406389,0.9019307831359361,170.65268291208366,6.929193358741448,0.2359988706060216,0.35931054441856564,158,20.6,20.0,307,19.432592071237753,17.652135327831505,1.3277196842594625e-05,7.7946111393553155,0.0,4.233122362869198,4.60126582278481,2.6319218241042344,0.0,1.0,30,30,delay,A
auc_comm,3,20,1.0,0,,True,0.5,0,0.0,1.0,9.496822679256434,0.9050317732074357,169.30154488989996,10.0,0.13910575717979795,0.21726879507630345,165,21.700000000000003,20.0,318,19.625831812434882,18.635617891493656,1.6852202180937025e-05,7.866286592740914,0.0,2.902020202020202,3.6606060606060606,2.0,0.0,1.0,30,30,delay,A
auc_comm,4,20,1.0,0,,True,0.5,0,0.0,1.0,8.962895759431333,0.9103710424056867,172.009138690258,6.995565928060085,0.3005810436907588,0.4446267794322749,181,22.3,20.0,336,18.420467869928377,15.248662097428328,1.2683332724485635e-05,7.737924218803046,0.0,3.1721915285451194,3.5801104972375692,2.4047619047619047,0.0,1.0,30,30,delay,A
auc_comm,5,20,1.0,0,,True,0.5,0,0.0,1.0,9.409350000891692,0.9059064999910831,164.0300766100102,9.927322461848517,0.14417404334055228,0.2437925070529019,153,20.3,20.0,304,19.461639060266222,18.287310054993227,1.3770394281508694e-05,7.841818266885154,0.0,2.5599128540305007,3.084967320261438,1.9671052631578947,0.0,1.0,30,30,delay,A
auc_comm,6,20,1.0,0,,True,0.5,0,0.0,1.0,8.89786032231228,0.9110213967768772,170.53703979065966,7.764655872606423,0.20054132690645388,0.32157787220166467,150,20.200000000000003,20.0,303,19.633515723931744,17.685194044772203,1.2644886257428147e-05,7.788389277223786,0.0,2.451111111111111,3.2266666666666666,2.3696369636963697,0.0,1.0,30,30,delay,A
auc_comm,7,20,1.0,0,,True,0.5,0,0.0,1.0,9.774455757741606,0.9022554424225839,181.96067031714844,8.958026754820025,0.23296357649665045,0.2837511048247989,145,20.6,20.0,307,20.05287748368762,18.866283021218724,1.1013028801931524e-05,7.7784049136967575,0.0,3.1011494252873564,3.7448275862068967,2.205211726384365,0.0,1.0,30,30,delay,A
auc_comm,8,20,1.0,0,,True,0.5,0,0.0,1.0,10.418728007037792,0.8958127199296221,180.14116798893815,8.26384030722736,0.20312550423391268,0.2628521208392882,141,20.6,20.0,298,20.146145776637187,18.943014507196462,1.3668794066163918e-05,7.811990881660625,0.0,3.882978723404255,5.120567375886525,2.4932885906040267,0.0,1.0,30,30,delay,A
auc_comm,9,20,1.0,0,,True,0.5,0,0.0,1.0,7.649054868259652,0.9235094513174035,171.66468258466148,6.993607560899634,0.2100828787330719,0.3199556871221989,157,20.6,20.0,309,19.223963997250433,16.831530104599803,1.3124918064831917e-05,7.796774442486219,0.0,2.357749469214437,3.3184713375796178,2.103559870550162,0.0,1.0,30,30,delay,A
auc_comm,10,20,1.0,0,,True,0.5,0,0.0,1.0,7.709927490223423,0.9229007250977658,172.5480300009993,7.964619676464885,0.2272072334111689,0.32080300908792736,152,19.900000000000002,20.0,301,19.61572453492759,17.9853021473882,1.2446180576972192e-05,7.80096138083475,0.0,1.944078947368421,2.4210526315789473,2.338870431893688,0.0,1.0,30,30,delay,A
