seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,4,0,,6.3678257941754294e-06,0.0014128139128645315,0.011334782608584804,26.407283309579665,26.407283309579665,7.774629568516278,7.774629568516278,1.0,230,4,1.0,30,30
2,4,0,,5.68309923450292e-06,0.0011953450702491518,0.011136150234687675,27.487543384827894,27.487543384827894,7.758278294641121,7.758278294641121,1.0,213,4,1.0,30,30
3,4,0,,5.66916321281196e-06,0.001226324669153651,0.011079295154182458,27.925808679779927,27.925808679779927,7.869971095848032,7.869971095848032,1.0,227,4,1.0,30,30
4,4,0,,5.550454873379997e-06,0.001246574090791083,0.011159090909098847,27.451845312194457,27.451845312194457,7.774069684669504,7.774069684669504,1.0,220,4,1.0,30,30
5,4,0,,5.523636818080294e-06,0.001233882727683522,0.010809090909407876,27.45408861946915,27.45408861946915,7.784064161786238,7.784064161786238,1.0,220,4,1.0,30,30
6,4,0,,5.565595787996853e-06,0.0012402889906714986,0.011596330275255525,27.67296228932658,27.67296228932658,7.785470694702052,7.785470694702052,1.0,218,4,1.0,30,30
7,4,0,,6.318396220383463e-06,0.0013548528302223684,0.012608490566083862,29.216933523533783,29.216933523533783,7.85383541358702,7.85383541358702,1.0,212,4,1.0,30,30
8,4,0,,5.949561135933261e-06,0.0012222328945777885,0.011837719298343648,26.181417476706194,26.181417476706194,7.825521487556222,7.825521487556222,1.0,228,4,1.0,30,30
9,4,0,,5.415069126974808e-06,0.0012409739724820752,0.01112328767117334,26.97657604047629,26.97657604047629,7.710160279794018,7.710160279794018,1.0,219,4,1.0,30,30
10,4,0,,5.397247350796066e-06,0.0012179779808929856,0.011334862385210559,26.58898047813346,26.58898047813346,7.705379746253419,7.705379746253419,1.0,218,4,1.0,30,30
11,4,0,,5.8171172313778115e-06,0.0012783914424142346,0.011671171170976097,27.623426100207013,27.623426100207013,7.772271027476209,7.772271027476209,1.0,222,4,1.0,30,30
12,4,0,,5.853588876100569e-06,0.0013530004787527283,0.011478468899684178,28.68802743800888,28.68802743800888,7.73071118678853,7.73071118678853,1.0,209,4,1.0,30,30
13,4,0,,5.7563877773229115e-06,0.0013074387670833092,0.011550660793028982,27.53364410873075,27.53364410873075,7.713387161955216,7.713387161955216,1.0,227,4,1.0,30,30
14,4,0,,5.419650491261977e-06,0.0012148187771428367,0.010672489082983159,26.72945586109193,26.72945586109193,7.765664985880254,7.765664985880254,1.0,229,4,1.0,30,30
15,4,0,,5.901421633244479e-06,0.0013397625596174238,0.011781990521416947,28.756956904175308,28.756956904175308,7.789889247080864,7.789889247080864,1.0,211,4,1.0,30,30
16,4,0,,5.5229729450483985e-06,0.0012077090088807693,0.01127027027037043,27.426882807851143,27.426882807851143,7.776902370811954,7.776902370811954,1.0,222,4,1.0,30,30
17,4,0,,5.210762464487298e-06,0.0011575376680705513,0.010793721973253916,26.225647642784146,26.225647642784146,7.712571022996797,7.712571022996797,1.0,223,4,1.0,30,30
18,4,0,,5.482742871957279e-06,0.0011813314154458777,0.01156194690257966,27.018328385232376,27.018328385232376,7.787254663192053,7.787254663192053,1.0,226,4,1.0,30,30
19,4,0,,5.1922722460321065e-06,0.00117748318152735,0.011009090908985606,26.47049279571542,26.47049279571542,7.681409963160515,7.681409963160515,1.0,220,4,1.0,30,30
20,4,0,,5.405633972669151e-06,0.0012135962441759273,0.011061032863848672,27.759345411882872,27.759345411882872,7.781835435129985,7.781835435129985,1.0,213,4,1.0,30,30
21,4,0,,5.195594401948055e-06,0.0011540823791736105,0.011295154185015359,25.86768288972823,25.86768288972823,7.6749920512087435,7.6749920512087435,1.0,227,4,1.0,30,30
22,4,0,,6.346534136544433e-06,0.0013335346530127053,0.011524752475218133,30.194135961046403,30.194135961046403,7.911924800294202,7.911924800294202,1.0,202,4,1.0,30,30
23,4,0,,5.759345925147602e-06,0.0012379056073275883,0.011299065420516684,28.217126059984288,28.217126059984288,7.784845957587961,7.784845957587961,1.0,214,4,1.0,30,30
24,4,0,,5.699546859658648e-06,0.0012198321265668916,0.011176470588240561,27.510627747270522,27.510627747270522,7.7142132499968685,7.7142132499968685,1.0,221,4,1.0,30,30
25,4,0,,6.207206883249586e-06,0.0012343130631609358,0.011603603603673348,27.64693053246042,27.64693053246042,7.758620746593668,7.758620746593668,1.0,222,4,1.0,30,30
26,4,0,,5.696714088373201e-06,0.0012321497652266488,0.011107981220631589,27.293622618914508,27.293622618914508,7.707190409911994,7.707190409911994,1.0,213,4,1.0,30,30
27,4,0,,5.4748865353692e-06,0.0011900538814782493,0.011703196347073959,27.333454137052584,27.333454137052584,7.765862327694345,7.765862327694345,1.0,219,4,1.0,30,30
28,4,0,,6.175224264446008e-06,0.0012260148647033635,0.012445945945974262,27.630645698988346,27.630645698988346,7.767549430492508,7.767549430492508,1.0,222,4,1.0,30,30
29,4,0,,5.595454819161784e-06,0.0012398059090297797,0.011081818181727696,28.207148649719567,28.207148649719567,7.77801237863852,7.77801237863852,1.0,220,4,1.0,30,30
30,4,0,,6.02318815311084e-06,0.0013377144932746887,0.011927536232011721,28.7528380835116,28.7528380835116,7.761292619138546,7.761292619138546,1.0,207,4,1.0,30,30
