solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn,density,vph
no_platooning,1,50,0.3,0,,True,0.5,0,0.0,1.0,5.095922596156766,0.9490407740384323,169.77401282643896,10.0,0.0846920596924464,0.17594801548468803,504,57.800000000000004,50.0,679,19.431746252531095,18.40244625896798,6.05611218035287e-06,7.653914400100632,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,2,50,0.3,0,,True,0.5,0,0.0,1.0,3.641245128365911,0.9635875487163409,172.7658046087293,10.0,0.06073115455502185,0.15441676136737112,554,61.6,50.0,718,19.628077010214533,18.824824188337388,6.227993696907271e-06,7.663400179075565,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,3,50,0.3,0,,True,0.5,0,0.0,1.0,3.601622564433171,0.9639837743556683,172.93128076475477,10.0,0.07541709107114702,0.2008748473506282,600,66.2,50.0,763,19.474933142343136,18.193293366435203,4.817954744279463e-06,7.643324654905571,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,4,50,0.3,0,,True,0.5,0,0.0,1.0,3.7025238090642176,0.9629747619093578,172.23664620840177,10.0,0.08661516431649155,0.17453781616023775,567,62.1,50.0,722,19.3753414377147,18.07471441436831,5.766898609692659e-06,7.65563317574123,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,5,50,0.3,0,,True,0.5,0,0.0,1.0,3.686407376905143,0.9631359262309486,172.32463170294284,10.0,0.0663841067331756,0.14205217846879462,553,60.800000000000004,50.0,709,19.524328102724358,18.568138753678443,6.5585316916762184e-06,7.664110850900969,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,6,50,0.3,0,,True,0.5,0,0.0,1.0,3.552574923462326,0.9644742507653767,172.9984739706255,10.0,0.06600720404357237,0.21503976683671333,575,62.900000000000006,50.0,730,19.56572222968782,18.54452855819723,5.654659686763197e-06,7.658866707496209,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,7,50,0.3,0,,True,0.5,0,0.0,1.0,4.5109050112048354,0.9548909498879516,170.99221077544414,10.0,0.06256435725989944,0.1340845846830137,526,59.7,50.0,697,19.55468907876086,18.760098131895646,5.795409097209295e-06,7.661143438465364,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,8,50,0.3,0,,True,0.5,0,0.0,1.0,4.303290359219858,0.9569670964078014,171.06618728648272,10.0,0.060345555920894065,0.12686497715189252,537,60.7,50.0,708,19.531388564339156,18.66427850587859,5.088419828427124e-06,7.661675974318594,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,9,50,0.3,0,,True,0.5,0,0.0,1.0,4.209721657920595,0.957902783420794,170.8518172994204,10.0,0.10587308238958153,0.23501917876198097,534,59.6,50.0,697,19.362444129109456,18.207979233943032,5.798278392494324e-06,7.641793258491371,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,10,50,0.3,0,,True,0.5,0,0.0,1.0,4.806486047172065,0.9519351395282794,170.2542303044271,10.0,0.09349573420017936,0.22990500690421403,552,60.6,50.0,708,19.343162549902896,17.873265515427182,6.0816399199298795e-06,7.641425002072242,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,11,50,0.3,0,,True,0.5,0,0.0,1.0,4.56687728991334,0.9543312271008666,170.49537440745263,10.0,0.10466869169630495,0.23880158514340094,552,61.900000000000006,50.0,721,19.26636295505162,17.820106175467284,5.644659095814506e-06,7.643219914457257,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,12,50,0.3,0,,True,0.5,0,0.0,1.0,4.448777150957484,0.9555122284904252,170.46011735597745,10.0,0.09356239225282073,0.22432460303218063,523,58.5,50.0,686,19.320885561148028,17.72151036070716,6.163411766274373e-06,7.64386251975724,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
no_platooning,13,50,0.3,0,,True,0.5,0,0.0,1.0,4.301195782460033,0.9569880421753997,170.7591209721699,10.0,0.09043008622062368,0.20230364137869772,541,62.1,50.0,723,19.370166508862226,18.195610584439414,5.951314925616749e-06,7.653779820165388,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,50,0.3,1100
