solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn
no_platooning,1,36,0,,True,0.5,0,0.0,1.0,7.935852419415889,0.9206414758058411,165.3846616533996,10.0,0.09530209672961472,0.1953390562217347,266,31.8,36.0,420,19.396708961883615,17.8543693153795,3.580952397896908e-06,7.6457267083423,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,2,36,1,planner_abort,True,0.5,0,0.0,1.0,0.0,1.0,nan,4.376137087535768,0.3771077540658782,0.9011294145564032,0,7.1000000000000005,0.0,71,18.90999585314667,16.4411278252389,3.3647887083672274e-06,7.207177598259018,0.0,nan,nan,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,3,36,0,,True,0.5,0,0.0,1.0,6.6994323997336735,0.9330056760026633,166.92152049389864,10.0,0.08314546328715494,0.17377332310272792,280,33.2,36.0,434,19.443888285676753,18.3631543071411,3.513824863085461e-06,7.657189225016169,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,4,36,0,,True,0.5,0,0.0,1.0,8.053410491124291,0.9194658950887571,163.05248170590494,6.535290778400874,0.19286457946545832,0.5393095117958436,260,31.3,36.0,414,18.9407575433053,16.49663584667055,3.6961352594991457e-06,7.567589696104078,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,5,36,0,,True,0.5,0,0.0,1.0,8.096876608858306,0.919031233911417,164.2143370342165,10.0,0.11634148409403364,0.23889754467242122,258,30.8,36.0,410,19.3036095458256,18.13245856761366,3.5941463931699327e-06,7.624189966127951,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,6,36,0,,True,0.5,0,0.0,1.0,7.184199029377114,0.9281580097062289,166.09490728719175,8.80255273931348,0.12416996843040053,0.27923768671110005,267,31.8,36.0,420,19.26275568929892,16.978483373311896,3.560000008985212e-06,7.618841364404475,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,7,36,0,,True,0.5,0,0.0,1.0,7.973678559857989,0.9202632144014201,164.66994637481682,10.0,0.10177291362399968,0.21789647592449268,274,33.5,36.0,436,19.341211587181256,17.973751121030297,3.5830275252060387e-06,7.645481980138118,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,8,36,0,,True,0.5,0,0.0,1.0,7.049254337975741,0.9295074566202426,165.7206041920658,10.0,0.13507289059383057,0.2816759168070456,272,32.800000000000004,36.0,429,19.04665811598757,16.645702538594296,3.5440559718906574e-06,7.631381929177842,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,9,36,0,,True,0.5,0,0.0,1.0,7.524207606181232,0.9247579239381877,165.62552178120862,10.0,0.14846051355855536,0.2757304205123795,271,32.2,36.0,424,19.05600516278449,16.88243434952966,3.580188651437122e-06,7.630150699437258,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,10,36,0,,True,0.5,0,0.0,1.0,8.472885921431306,0.9152711407856869,164.00320846564105,10.0,0.14802543217021757,0.26604656284789396,271,31.700000000000003,36.0,418,19.055167995203707,17.343274613324184,3.7236842091482704e-06,7.625129017816965,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,11,36,0,,True,0.5,0,0.0,1.0,6.291567379104157,0.9370843262089584,167.295129990057,10.0,0.09532204390278996,0.18242431382072735,272,32.7,36.0,428,19.3294420700743,17.98763183140101,3.5981309032241735e-06,7.650171526423909,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,12,36,0,,True,0.5,0,0.0,1.0,6.720565287883984,0.9327943471211602,166.33959423391883,10.0,0.08746111287516174,0.1815247508499928,280,33.4,36.0,436,19.37069108497612,17.88020821679045,3.538761450168132e-06,7.654455405732671,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,13,36,0,,True,0.5,0,0.0,1.0,6.488339155963752,0.9351166084403625,166.39684335693545,10.0,0.11376020812914528,0.24080466001999024,270,33.4,36.0,434,19.151450717479843,17.59113616189552,3.543317999186752e-06,7.596557105051417,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,14,36,0,,True,0.5,0,0.0,1.0,7.927783429738911,0.9207221657026109,164.53902638217212,10.0,0.11360932513742986,0.19714318507266054,270,31.8,36.0,419,19.286585716545627,17.818516409859008,3.6207636482657993e-06,7.645371007094044,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,15,36,0,,True,0.5,0,0.0,1.0,8.23672063778731,0.9176327936221269,165.39486398153687,10.0,0.06785915439588336,0.14179281121839488,257,31.3,36.0,414,19.695445335527975,18.56447938158636,3.6618357538265303e-06,7.658810464734786,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,16,36,0,,True,0.5,0,0.0,1.0,7.711058556078987,0.9228894144392101,165.22347993809126,10.0,0.11355883985436994,0.2125227460454615,267,31.200000000000003,36.0,413,19.348645680018347,17.838327507586712,3.5692493671359108e-06,7.645509433340406,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,17,36,0,,True,0.5,0,0.0,1.0,7.669247024577874,0.9233075297542213,165.07787425057262,10.0,0.10139187126596598,0.21449121340853358,260,30.8,36.0,409,19.363380959370392,17.78941414024625,3.616381425556811e-06,7.652594153051492,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,18,36,0,,True,0.5,0,0.0,1.0,7.541805863199292,0.9245819413680071,165.65968845660277,10.0,0.09988979315535142,0.20235946228870275,264,30.8,36.0,410,19.374222821596977,17.712097088348482,3.612438949192704e-06,7.6480572276676755,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,19,36,0,,True,0.5,0,0.0,1.0,7.977058488110355,0.9202294151188964,164.0635619127304,10.0,0.09532246571232435,0.1965856843474194,269,31.6,36.0,418,19.398483207322457,18.329265654477915,3.5844497871000327e-06,7.638899310901333,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,20,36,0,,True,0.5,0,0.0,1.0,7.668779736485709,0.9233122026351429,165.62132927265156,10.0,0.097659408990585,0.17982076451393594,266,31.5,36.0,416,19.497276938403985,18.138930625939093,3.5995192276389457e-06,7.647597593026467,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,21,36,0,,True,0.5,0,0.0,1.0,6.830026768951902,0.931699732310481,167.02948634137837,10.0,0.1130526069861449,0.24286040017535035,279,32.5,36.0,426,19.31925148951494,17.514815259386765,3.5697183090927816e-06,7.627992415901401,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,22,36,0,,True,0.5,0,0.0,1.0,7.864301566932164,0.9213569843306784,165.2262603120682,8.45967506116894,0.13977012658678453,0.28893739918875705,266,31.400000000000002,36.0,416,19.223959524829414,16.786076341203323,3.5870191893011975e-06,7.612308443598514,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,23,36,0,,True,0.5,0,0.0,1.0,6.722013984426079,0.9327798601557392,166.94161523621395,10.0,0.07732734539477755,0.15433972258547515,264,31.6,36.0,418,19.470002986397844,18.21986798610167,3.5550239345957814e-06,7.655966836388267,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,24,36,0,,True,0.5,0,0.0,1.0,6.848556956867558,0.9315144304313244,166.28977418104242,10.0,0.13611703673038814,0.2976879852144394,283,33.4,36.0,436,19.183016877432465,17.248317714127083,3.545412806037882e-06,7.622143360662785,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
no_platooning,25,36,0,,True,0.5,0,0.0,1.0,7.3629079219894145,0.9263709207801059,165.31455785795956,10.0,0.12150432456694713,0.24910410943151243,277,33.300000000000004,36.0,434,19.17914556216975,17.277894536945915,3.5271889279386743e-06,7.641149169929526,0.0,1.0,1.0,nan,nan,0.9666666666666667,29,30,C0_no_platoon,36
